都道府県コード又は市区町村コード,No,都道府県名,市区町村名,名称,住所,経度,緯度,車椅子使用者トイレ有無,乳幼児用設備設置トイレ有無,オストメイトトイレ設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,施設種類
"132,098",24,東京都,町田市,とんかつ　とん久,木曽東4-27-19,139.4257312,35.56731486,無,,無,,,11時～14時、16時30分～21時 火曜日定休日,公共トイレ協力店
"132,098",25,東京都,町田市,セブン-イレブン町田市木曽町店,木曽東4-2-2,139.4282997,35.56235242,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",26,東京都,町田市,セブン-イレブン本町田店,本町田3239,139.443339,35.57299175,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",27,東京都,町田市,セブン-イレブン町田山崎新道店,山崎町1936-1,139.4286709,35.57101469,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",28,東京都,町田市,セブン-イレブン町田山崎町西店,山崎町130-1,139.4277876,35.57672775,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",29,東京都,町田市,野津田神社,野津田町2319,139.4474184,35.58409447,無,,無,,,日の出～日没まで 夜間利用不可,トイレ開放協力寺社
"132,098",30,東京都,町田市,ファミリーマート町田忠生店,忠生1-27-8,139.4181724,35.57524778,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",31,東京都,町田市,ミニストップ町田根岸店,根岸町1001-26,139.4083349,35.57610503,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",32,東京都,町田市,正山寺,上小山田町1504,139.4016418,35.60125155,有,,無,8:00,18:00,,トイレ開放協力寺社
"132,098",33,東京都,町田市,小野神社,小野路町885,139.4381533,35.59791417,無,,無,0:00,23:59,,トイレ開放協力寺社
"132,098",34,東京都,町田市,ローソン町田野津田町店,野津田町1049,139.456277,35.588461,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",35,東京都,町田市,セブン-イレブン町田大蔵店,大蔵町560-1,139.4594943,35.58857862,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",36,東京都,町田市,ファミリーマートみなとや鶴川店,鶴川2-10-7,139.4722387,35.58852951,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",37,東京都,町田市,セブン-イレブン町田真光寺店,真光寺3-21-20,139.4662704,35.59965493,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",38,東京都,町田市,観泉寺,真光寺町1210,139.460583,35.600897,無,,無,,,随時,トイレ開放協力寺社
"132,098",39,東京都,町田市,島忠ホームズ町田三輪店,三輪町281-1,139.50035,35.579011,有,,有,10:00,20:00,休業日あり,公共トイレ協力店
"132,098",40,東京都,町田市,高蔵寺,三輪町1739,139.4902281,35.58037648,無,,無,9:00,16:00,,トイレ開放協力寺社
"132,098",41,東京都,町田市,セブン-イレブン町田鶴川駅前店,能ヶ谷1-4-6,139.4795899,35.58308511,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",42,東京都,町田市,リレイス鶴川,能ヶ谷3-2-1,139.486032,35.584693,有,,無,9:00,17:00,,公共トイレ協力店
"132,098",43,東京都,町田市,セブン-イレブン町田鶴川駅北口店,能ヶ谷1-8-1　神蔵ビル１Ｆ,139.4831619,35.58428547,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",44,東京都,町田市,ファミリーマート町田能ヶ谷町店,能ヶ谷4-19-15,139.48596,35.585243,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",45,東京都,町田市,セブン-イレブン町田能ヶ谷4丁目店,能ヶ谷4-6-1,139.4809216,35.58784448,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",46,東京都,町田市,セブン-イレブン町田金井入口店,大蔵町2164-1,139.472401,35.585258,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",47,東京都,町田市,八幡神社,金井町2686,139.4603929,35.57196817,無,,無,0:00,23:59,,トイレ開放協力寺社
"132,098",48,東京都,町田市,ローソン町田金井町店,金井2-19-14,139.458569,35.573155,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",49,東京都,町田市,セブン-イレブン町田藤の台東店,金井1-1-18,139.454074,35.571888,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",50,東京都,町田市,セブン-イレブン玉川学園２丁目店,玉川学園2-8-24,139.4618169,35.56178762,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",51,東京都,町田市,（株）三和玉川学園店,玉川学園2-11-26,139.4620809,35.56277102,有,,無,9:00,23:00,,公共トイレ協力店
"132,098",52,東京都,町田市,セブン-イレブン町田成瀬台３丁目店,成瀬台3-8-7,139.4783434,35.55460497,有,,,5:00,23:59,,公共トイレ協力店
"132,098",53,東京都,町田市,セブン-イレブン町田ポプラヶ丘店,成瀬台2-1-2,139.476285,35.549651,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",54,東京都,町田市,ローソン町田成瀬中央通店,南成瀬1-7-6,139.470808,35.537369,無,,無,0:00,23:59,,公共トイレ協力店
